,2 195153448 0
342,163194 440234743 7
343,163693 440234743 6
344,164323 440234743 7
345,165618 440234743 7
346,165842 440234743 7
347,165884 440234743 7
348,166391 440234743 10
349,167038 440234743 9
350,167800 440234743 2
351,168132 440234743 7
352,169403 440234743 7
353,170518 440234743 10
354,170580 440234743 8
355,171078 440234743 1
356,172539 440234743 10
357,172742 440234743 9
358,173415 440234743 6
359,173684 440234743 9
360,174642 440234743 4
361,175117 440234743 6
362,176477 440234743 8
363,176709 440234743 9
364,176790 440234743 1
365,176894 440234743 6
366,178130 440234743 10
367,179068 440234743 3
368,181519 440234743 3
369,182459 440234743 1
370,182746 440234743 5
371,185384 440234743 6
372,185722 440234743 6
373,186570 440234743 9
374,187266 440234743 7
375,187533 440234743 7
376,187944 440234743 6
377,189655 440234743 9
378,190741 440234743 6
379,192353 440234743 7
380,192399 440234743 6
381,192621 440234743 1
382,193529 440234743 7
383,193898 440234743 9
384,195347 440234743 7
385,195469 440234743 1
386,195694 440234743 1
387,197364 440234743 10
388,197659 440234743 8
389,198046 440234743 8
390,198412 440234743 5
391,198483 440234743 10
392,198711 440234743 7
393,199092 440234743 3
394,199640 440234743 7
395,200234 440234743 10
396,200402 440234743 8
397,200674 440234743 6
398,201548 440234743 8
399,202619 440234743 1
400,203649 440234743 10
401,203968 440234743 3
402,204504 440234743 6
403,205963 440234743 9
404,206423 440234743 4
405,207259 440234743 4
406,207291 440234743 4
407,207782 440234743 5
408,207825 440234743 7
409,208147 440234743 9
410,208607 440234743 9
411,210276 440234743 4
412,210717 440234743 5
413,210838 440234743 7
414,211321 440234743 8
415,212806 440234743 1
416,213220 440234743 1
417,213733 440234743 2
418,213760 440234743 4
419,214786 440234743 9
420,215256 440234743 5
421,215949 440234743 3
422,216670 440234743 8
423,216683 440234743 9
424,217375 440234743 1
425,217516 440234743 8
426,217986 440234743 6
427,218121 440234743 8
428,221445 440234743 2
429,222217 440234743 4
430,223331 440234743 7
431,224435 440234743 6
432,224764 440234743 6
433,225717 440234743 2
434,225810 440234743 1
435,225826 440234743 3
436,225989 440234743 5
437,226638 440234743 7
438,227392 440234743 7
439,228187 440234743 10
440,229011 440234743 7
441,229609 440234743 6
442,230522 440234743 5
443,231237 440234743 6
444,231865 440234743 9
445,232131 440234743 7
446,232271 440234743 4
447,232945 440234743 9
448,233731 440234743 7
449,234623 440234743 10
450,235059 440234743 9
451,235842 440234743 6
452,235935 440234743 1
453,236172 440234743 10
454,240024 440234743 9
455,240144 440234743 7
456,240567 440234743 5
457,240951 440234743 10
458,241306 440234743 10
459,241548 440234743 2
460,241666 440234743 8
461,241980 440234743 9
462,242843 440234743 10
463,242891 440234743 8
464,243930 440234743 9
465,244349 440234743 6
466,244627 440234743 10
467,244761 440234743 6
468,245616 440234743 10
469,245827 440234743 2
470,245963 440234743 4
471,246333 440234743 4
472,246550 440234743 3
473,246655 440234743 1
474,249954 440234743 3
475,250101 440234743 9
476,250184 440234743 5
477,251122 440234743 9
478,251377 440234743 10
479,251613 440234743 5
480,251851 440234743 2
481,252777 440234743 7
482,253106 440234743 6
483,254971 440234743 4
484,255719 440234743 3
485,256407 440234743 2
486,256925 440234743 8
487,258534 440234743 8
488,258884 440234743 5
489,259078 440234743 8
490,259223 440234743 8
491,259543 440234743 6
492,259778 440234743 7
493,259846 440234743 10
494,260897 440234743 9
495,261378 440234743 8
496,261829 440234743 8
497,262846 440234743 7
498,263163 440234743 3
499,263644 440234743 4
500,263877 440234743 9
501,265115 440234743 9
502,265276 440234743 8
503,265313 440234743 10
504,266268 440234743 10
505,267549 440234743 7
506,268330 440234743 7
507,269566 440234743 6
508,269614 440234743 8
509,271284 440234743 1
510,271558 440234743 7
511,273190 440234743 10
512,273979 440234743 9
513,274167 440234743 5
514,274308 440234743 2
515,274823 440234743 10
516,276641 440234743 6
517,277478 440234743 8
518,278144 440234743 4
519,9 452264464 6
520,3373 452264464 10
521,4781 452264464 3
522,5555 452264464 9
523,6026 452264464 9
524,6242 452264464 5
525,7210 452264464 9
526,8362 452264464 5
527,8570 452264464 8
528,11104 452264464 10
529,11676 452264464 8
530,12863 452264464 9
531,14449 452264464 5
532,16231 452264464 6
533,17003 452264464 2
534,20265 452264464 8
535,21870 452264464 9
536,22625 452264464 9
537,23768 452264464 2
538,26350 452264464 9
539,27624 452264464 8
540,28056 452264464 9
541,32793 452264464 9
542,34588 452264464 1
543,34864 452264464 1
544,35904 452264464 2
545,36197 452264464 8
546,36715 452264464 2
547,36907 452264464 10
548,40330 452264464 8
549,40612 452264464 2
550,43619 452264464 10
551,49980 452264464 2
552,52832 452264464 1
553,57105 452264464 9
554,58363 452264464 5
555,60609 452264464 9
556,61619 452264464 9
557,63956 452264464 9
558,64763 452264464 10
559,68080 452264464 9
560,68943 452264464 5
561,69378 452264464 3
562,73801 452264464 8
563,75723 452264464 5
564,77181 452264464 7
565,80683 452264464 10
566,80837 452264464 5
567,82407 452264464 6
568,85653 452264464 8
569,85656 452264464 7
570,86219 452264464 9
571,86243 452264464 9
572,86835 452264464 9
573,87746 452264464 1
574,89856 452264464 10
575,91832 452264464 3
576,91931 452264464 3
577,92810 452264464 7
578,93698 452264464 4
579,95392 452264464 5
580,95932 452264464 10
581,99946 452264464 8
582,100459 452264464 7
583,101043 452264464 7
584,101559 452264464 8
585,101851 452264464 10
586,102327 452264464 8
587,102359 452264464 10
588,102430 452264464 7
589,104796 452264464 8
590,105214 452264464 10
591,105517 452264464 1
592,107258 452264464 6
593,108005 452264464 3
594,112026 452264464 6
595,113117 452264464 3
596,114698 452264464 7
597,115120 452264464 4
598,116210 452264464 2
599,117041 452264464 8
600,118135 452264464 10
601,119858 452264464 10
602,120807 452264464 9
603,124298 452264464 10
604,124874 452264464 4
605,125774 452264464 7
606,127429 452264464 9
607,129373 452264464 1
608,129716 452264464 10
609,132230 452264464 10
610,132930 452264464 9
611,134541 452264464 4
612,134869 452264464 7
613,136205 452264464 6
614,143968 452264464 1
615,144803 452264464 4
616,145619 452264464 5
617,146932 452264464 10
618,148744 452264464 9
619,150968 452264464 9
620,150970 452264464 1
621,153042 452264464 9
622,153577 452264464 8
623,153662 452264464 2
624,156150 452264464 10
625,157273 452264464 10
626,157799 452264464 5
627,159732 452264464 7
628,160032 452264464 8
629,165319 452264464 5
630,167812 452264464 1
631,169862 452264464 7
632,171295 452264464 8
633,173018 452264464 7
634,174304 452264464 4
635,174326 452264464 9
636,174633 452264464 9
637,175003 452264464 7
638,176838 452264464 7
639,178667 452264464 5
640,184299 452264464 4
641,187145 452264464 2
642,196457 452264464 9
643,202182 452264464 7
644,202547 452264464 5
645,204864 452264464 10
646,204909 452264464 8
647,207965 452264464 8
648,212847 452264464 6
649,212849 452264464 4
650,215388 452264464 5
651,218421 452264464 8
652,221232 452264464 10
653,221445 452264464 8
654,223402 452264464 6
655,224138 452264464 9
656,224236 452264464 2
657,227025 452264464 5
658,227275 452264464 8
659,227884 452264464 7
660,230249 452264464 5
661,230522 452264464 2
662,231210 452264464 6
663,232103 452264464 10
664,234205 452264464 4
665,235011 452264464 5
666,237436 452264464 6
667,238120 452264464 10
668,240353 452264464 9
669,240401 452264464 8
670,241214 452264464 9
671,241579 452264464 10
672,243879 452264464 7
673,244171 452264464 4
674,244643 452264464 7
675,245963 452264464 6
676,250764 452264464 8
677,250892 452264464 9
678,251150 452264464 4
679,252627 452264464 8
680,253855 452264464 6
681,254160 452264464 9
682,255799 452264464 9
683,258109 452264464 10
684,258747 452264464 5
685,260897 452264464 4
686,263163 452264464 1
687,264543 452264464 8
688,264657 452264464 10
689,266283 452264464 10
690,267293 452264464 1
691,269566 452264464 3
692,269688 452264464 2
693,269799 452264464 10
694,271135 452264464 10
695,271144 452264464 5
696,274056 452264464 9
697,277711 452264464 9
698,278418 452264464 1
699,9 609804618 3
700,6910 609804618 9
701,7913 609804618 6
702,11676 609804618 7
703,58516 609804618 9
704,59971 609804618 6
705,60244 609804618 1
706,79089 609804618 6
707,98758 609804618 9
708,113817 609804618 6
709,126604 609804618 10
710,146348 609804618 8
711,159506 609804618 7
712,160843 609804618 3
713,172760 609804618 8
714,187763 609804618 10
715,196108 609804618 6
716,206202 609804618 10
717,271622 609804618 9
718,10 1841721522 7
719,3675 1841721522 8
720,6366 1841721522 7
721,11676 1841721522 10
722,13872 1841721522 10
723,16654 1841721522 1
724,16673 1841721522 10
725,17183 1841721522 5
726,18384 1841721522 6
727,55217 1841721522 1
728,80908 1841721522 1
729,94985 1841721522 10
730,105476 1841721522 3
731,124888 1841721522 9
732,126644 1841721522 1
733,131126 1841721522 10
734,134556 1841721522 2
735,136633 1841721522 9
736,137437 1841721522 4
737,141518 1841721522 10
738,149634 1841721522 3
739,152107 1841721522 9
740,156502 1841721522 10
741,157118 1841721522 8
742,158627 1841721522 4
743,164533 1841721522 5
744,182987 1841721522 1
745,187810 1841721522 9
746,189750 1841721522 10
747,214920 1841721522 2
748,217740 1841721522 1
749,229501 1841721522 9
750,240440 1841721522 2
751,241268 1841721522 6
752,248325 1841721522 6
753,254982 1841721522 10
754,267172 1841721522 6
755,12 1879384493 10
756,64632 1879384493 6
757,67997 1879384493 4
758,14 61076031 5
759,198711 61076031 9
760,278418 61076031 7
761,14 439095026 5
762,26593 439095026 9
763,126492 439095026 4
764,164027 439095026 8
765,174791 439095026 6
766,259901 439095026 6
767,14 689821166 6
768,16 345402871 9
769,6007 345402871 4
770,10215 345402871 3
771,11120 345402871 1
772,11676 345402871 9
773,12569 345402871 3
774,13582 345402871 9
775,14768 345402871 7
776,14801 345402871 7
777,16795 345402871 5
778,17183 345402871 6
779,17761 345402871 2
780,19011 345402871 9
781,20409 345402871 2
782,22463 345402871 6
783,26544 345402871 4
784,26722 345402871 6
785,28222 345402871 7
786,28731 345402871 7
787,29067 345402871 6
788,30035 345402871 5
789,30461 345402871 8
790,30594 345402871 1
791,31315 345402871 8
792,35050 345402871 3
793,35945 345402871 7
794,36506 345402871 8
795,37511 345402871 10
796,40417 345402871 8
797,41084 345402871 7
798,42458 345402871 10
799,42883 345402871 3
800,42914 345402871 8
801,43852 345402871 8
802,48965 345402871 7
803,51165 345402871 5
804,51438 345402871 1
805,52141 345402871 6
806,52584 345402871 7
807,53174 345402871 3
808,54326 345402871 7
809,54605 345402871 3
810,55548 345402871 8
811,55892 345402871 7
812,57095 345402871 9
813,61598 345402871 7
814,62272 345402871 2
815,62881 345402871 6
816,63293 345402871 8
817,65228 345402871 8
818,67244 345402871 8
819,68212 345402871 4
820,69042 345402871 10
821,69967 345402871 8
822,70594 345402871 7
823,70666 345402871 5
824,76105 345402871 8
825,76352 345402871 4
826,78783 345402871 7
827,81298 345402871 1
828,82407 345402871 2
829,82893 345402871 10
830,85060 345402871 4
831,85701 345402871 9
832,86680 345402871 6
833,87141 345402871 5
834,89027 345402871 8
835,92154 345402871 7
836,93047 345402871 2
837,98787 345402871 1
838,99434 345402871 9
839,100261 345402871 8
840,100668 345402871 8
841,102967 345402871 6
842,105058 345402871 5
843,105476 345402871 6
844,105627 345402871 10
845,107244 345402871 8
846,108392 345402871 6
847,108474 345402871 8
848,109741 345402871 9
849,110291 345402871 7
850,110700 345402871 10
851,114378 345402871 3
852,117557 345402871 3
853,118542 345402871 8
854,120090 345402871 4
855,120985 345402871 8
856,122096 345402871 10
857,123460 345402871 4
858,123741 345402871 10
859,123790 345402871 6
860,124487 345402871 9
861,124942 345402871 8
862,126296 345402871 8
863,128208 345402871 5
864,128286 345402871 8
865,135376 345402871 8
866,136473 345402871 10
867,137137 345402871 7
868,140705 345402871 1
869,141876 345402871 1
870,144531 345402871 1
871,145474 345402871 2
872,146279 345402871 1
873,149810 345402871 9
874,151787 345402871 1
875,153211 345402871 8
876,158567 345402871 7
877,160451 345402871 2
878,161789 345402871 9
879,162590 345402871 5
880,164323 345402871 8
881,165267 345402871 6
882,166596 345402871 9
883,167471 345402871 10
884,167800 345402871 3
885,170154 345402871 7
886,170702 345402871 3
887,170850 345402871 6
888,171118 345402871 7
889,172742 345402871 8
890,174179 345402871 7
891,174700 345402871 8
892,180320 345402871 7
893,182442 345402871 6
894,183187 345402871 10
895,186570 345402871 8
896,188518 345402871 8
897,188583 345402871 7
898,189080 345402871 9
899,196738 345402871 8
900,198303 345402871 9
901,198711 345402871 6
902,199309 345402871 2
903,199431 345402871 5
904,199927 345402871 8
905,200674 345402871 10
906,201776 345402871 10
907,203764 345402871 10
908,204192 345402871 9
909,204591 345402871 7
910,204864 345402871 1
911,207971 345402871 4
912,209059 345402871 8
913,210485 345402871 1
914,210792 345402871 5
915,210838 345402871 3
916,212898 345402871 5
917,213350 345402871 7
918,213410 345402871 8
919,214786 345402871 9
920,216682 345402871 6
921,217318 345402871 5
922,220091 345402871 9
923,221445 345402871 10
924,223036 345402871 2
925,227287 345402871 2
926,227705 345402871 9
927,228255 345402871 7
928,231130 345402871 6
929,231210 345402871 2
930,231237 345402871 9
931,232708 345402871 10
932,233004 345402871 5
933,233466 345402871 8
934,234108 345402871 8
935,234162 345402871 5
936,234672 345402871 4
937,234828 345402871 8
938,234948 345402871 1
939,236235 345402871 10
940,238065 345402871 4
941,241548 345402871 7
942,242106 345402871 8
943,242499 345402871 9
944,243077 345402871 2
945,243290 345402871 8
946,245592 345402871 5
947,246000 345402871 4
948,247201 345402871 2
949,248547 345402871 7
950,248704 345402871 2
951,249628 345402871 10
952,251642 345402871 5
953,252695 345402871 7
954,255189 345402871 8
955,256544 345402871 2
956,259629 345402871 7
957,260897 345402871 7
958,262399 345402871 2
959,263537 345402871 5
960,264464 345402871 9
961,264600 345402871 5
962,266226 345402871 1
963,267377 345402871 7
964,268032 345402871 9
965,269566 345402871 2
966,270820 345402871 1
967,272975 345402871 7
968,273086 345402871 2
969,273110 345402871 2
970,274052 345402871 8
971,274061 345402871 10
972,274423 345402871 9
973,275195 345402871 7
974,277965 345402871 9
975,16 345417623 4
976,1376 345417623 8
977,1848 345417623 8
978,2087 345417623 8
979,3363 345417623 7
980,4556 345417623 4
981,5815 345417623 2
982,6251 345417623 8
983,7346 345417623 5
984,8682 345417623 8
985,8782 345417623 2
986,9227 345417623 7
987,10215 345417623 6
988,10470 345417623 7
989,11676 345417623 10
990,12565 345417623 7
991,13600 345417623 1
992,13726 345417623 7
993,13915 345417623 3
994,16551 345417623 8
995,16666 345417623 5
996,16795 345417623 5
997,16799 345417623 7
998,17172 345417623 3
999,17353 345417623 8
1000,17796 345417623 1
1001,18583 345417623 8
1002,19085 345417623 8
1003,20119 345417623 4
1004,20512 345417623 6
1005,21875 345417623 8
1006,22045 345417623 10
1007,22062 345417623 1
1008,23047 345417623 7
1009,24064 345417623 7
1010,24144 345417623 8
1011,24278 345417623 7
1012,24771 345417623 10
1013,25410 345417623 9
1014,28222 345417623 9
1015,28523 345417623 5
1016,29131 345417623 10
1017,30131 345417623 6
1018,30594 345417623 10
1019,30972 345417623 1
1020,30994 345417623 10
1021,31172 345417623 1
1022,31315 345417623 4
1023,31620 345417623 7
1024,31846 345417623 5
1025,32003 345417623 8
1026,32148 345417623 3
1027,32188 345417623 8
1028,33832 345417623 4
1029,34588 345417623 5
1030,35859 345417623 10
1031,36506 345417623 8
1032,36510 345417623 9
1033,37204 345417623 4
1034,37239 345417623 9
1035,37623 345417623 9
1036,38023 345417623 5
1037,39233 345417623 9
1038,39646 345417623 4
1039,40889 345417623 4
1040,41760 345417623 9
1041,42083 345417623 10
1042,42162 345417623 2
1043,42333 345417623 7
1044,42372 345417623 8
1045,42546 345417623 7
1046,43359 345417623 4
1047,43687 345417623 10
1048,45291 345417623 2
1049,45954 345417623 8
1050,46892 345417623 5
1051,47117 345417623 8
1052,48494 345417623 10
1053,49225 345417623 10
1054,49294 345417623 5
1055,50681 345417623 8
1056,51526 345417623 5
1057,52845 345417623 8
1058,53140 345417623 8
1059,53174 345417623 10
1060,53418 345417623 7
1061,53456 345417623 4
1062,53604 345417623 10
1063,54605 345417623 6
1064,55562 345417623 8
1065,56399 345417623 7
1066,56715 345417623 10
1067,56856 345417623 5
1068,58067 345417623 6
1069,58142 345417623 8
1070,58351 345417623 5
1071,59038 345417623 1
1072,59172 345417623 10
1073,61935 345417623 8
1074,62542 345417623 10
1075,62575 345417623 4
1076,62932 345417623 3
1077,64310 345417623 10
1078,65191 345417623 10
1079,66096 345417623 6
1080,66591 345417623 4
1081,67034 345417623 10
1082,67236 345417623 10
1083,69078 345417623 7
1084,69232 345417623 5
1085,69554 345417623 4
1086,69929 345417623 7
1087,69971 345417623 4
1088,72530 345417623 10
1089,73910 345417623 4
1090,76105 345417623 9
1091,76352 345417623 7
1092,76482 345417623 5
1093,76942 345417623 9
1094,77320 345417623 6
1095,77585 345417623 10
1096,78434 345417623 8
1097,79186 345417623 4
1098,80375 345417623 7
1099,80538 345417623 8
1100,80996 345417623 8
1101,81136 345417623 6
1102,81484 345417623 10
1103,81492 345417623 10
1104,81609 345417623 4
1105,81848 345417623 4
1106,82407 345417623 1
1107,83186 345417623 10
1108,83214 345417623 8
1109,84150 345417623 5
1110,86242 345417623 4
1111,87141 345417623 4
1112,87906 345417623 8
1113,88123 345417623 2
1114,88187 345417623 6
1115,88738 345417623 9
1116,89602 345417623 9
1117,90467 345417623 4
1118,91023 345417623 5
1119,92810 345417623 5
1120,93257 345417623 4
1121,94677 345417623 7
1122,95991 345417623 4
1123,96954 345417623 10
1124,98440 345417623 9
1125,98722 345417623 7
1126,98787 345417623 10
1127,99051 345417623 2
1128,100846 345417623 8
1129,102170 345417623 8
1130,102967 345417623 8
1131,103176 345417623 9
1132,105108 345417623 5
1133,105374 345417623 3
1134,105925 345417623 10
1135,106007 345417623 9
1136,106302 345417623 3
1137,106816 345417623 6
1138,108752 345417623 9
1139,109562 345417623 2
1140,110700 345417623 9
1141,110993 345417623 8
1142,111083 345417623 7
1143,112590 345417623 8
1144,112815 345417623 9
1145,112855 345417623 8
1146,112881 345417623 1
1147,113328 345417623 9
1148,113519 345417623 7
1149,114317 345417623 1
1150,114446 345417623 5
1151,114742 345417623 10
1152,115120 345417623 3
1153,115435 345417623 7
1154,116972 345417623 1
1155,117858 345417623 6
1156,119049 345417623 7
1157,119205 345417623 9
1158,120749 345417623 9
1159,121233 345417623 10
1160,121251 345417623 9
1161,121517 345417623 7
1162,122440 345417623 8
1163,123867 345417623 8
1164,124079 345417623 10
1165,124487 345417623 4
1166,125269 345417623 7
1167,126531 345417623 10
1168,126736 345417623 8
1169,127233 345417623 4
1170,127429 345417623 8
1171,127942 345417623 7
1172,128085 345417623 5
1173,128341 345417623 7
1174,129084 345417623 8
1175,129843 345417623 2
1176,130878 345417623 8
1177,131027 345417623 1
1178,132151 345417623 7
1179,132392 345417623 7
1180,132624 345417623 5
1181,133462 345417623 4
1182,134630 345417623 8
1183,135045 345417623 3
1184,135149 345417623 8
1185,135458 345417623 5
1186,135831 345417623 10
1187,135865 345417623 7
1188,136382 345417623 4
1189,136733 345417623 10
1190,137336 345417623 2
1191,138543 345417623 10
1192,139827 345417623 9
1193,140773 345417623 2
1194,142041 345417623 3
1195,147475 345417623 6
1196,148744 345417623 8
1197,149259 345417623 5
1198,149690 345417623 9
1199,150518 345417623 9
1200,151070 345417623 9
1201,151738 345417623 10
1202,152015 345417623 8
1203,153662 345417623 9
1204,155823 345417623 8
1205,159038 345417623 7
1206,159858 345417623 9
1207,160819 345417623 10
1208,161385 345417623 10
1209,162683 345417623 10
1210,163430 345417623 10
1211,164675 345417623 8
1212,164926 345417623 9
1213,165253 345417623 9
1214,165582 345417623 6
1215,165627 345417623 2
1216,165770 345417623 9
1217,166596 345417623 7
1218,167349 345417623 8
1219,167800 345417623 7
1220,170513 345417623 2
1221,170759 345417623 7
1222,172293 345417623 7
1223,173415 345417623 6
1224,175052 345417623 2
1225,176720 345417623 8
1226,177090 345417623 3
1227,177432 345417623 8
1228,179019 345417623 7
1229,179791 345417623 10
1230,179843 345417623 10
1231,180320 345417623 1
1232,181944 345417623 10
1233,182746 345417623 4
1234,183071 345417623 6
1235,183103 345417623 5
1236,183883 345417623 1
1237,185006 345417623 10
1238,185147 345417623 6
1239,186547 345417623 8
1240,187256 345417623 1
1241,187374 345417623 8
1242,189104 345417623 10
1243,189474 345417623 9
1244,190074 345417623 3
1245,190808 345417623 6
